,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
489,Kissing Strangers,DNCE,dance pop,2017,120,74,77,-6,9,86,202,5,4,66,"Young Money Kissing strangers Heeeey I'm just trying to make my way on through the concrete jungle Who walks with me? Heeeey Oh yeah trying to find connection in two-thousand something, ain't easy Ooh Can't quit, take sips Wanna taste you Ooh Make wish, use lips Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers (huhhh) Na na na na na na na na Till I find someone I trust Na na na na na na na na Kissing strangers (huhhh) Open heart, open mind Never know who you'll find Open heart, close your eyes Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers Heeeey All misinformation open to interpretation Just keep searching Meeee, hyperventilating, blocking up my circulation No waiting Woohoo, can't quit, take sips Wanna taste you Ooh, make wish, use lips Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers (huhhh) Na na na na na na na na Till I find someone I trust Na na na na na na na na Kissing strangers (huhhh) Open heart, open mind Never know who you'll find Open heart, close your eyes Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers (huhhh) I got a boy that I kinda like This is a kiss-kiss, tongue him down kind of night He got that mmmm, mmmm, hard got that China white He got that bomb, I think I'mma call him dynamite I gotta lotta sons, I could show you all the sonograms Me? I’m Jem, and these bitches is the holograms Me? I win and these bitches just lose They ship sink, but my ship, it just cruise Anyway, I’m back, with my baby gat, gimme piggy back Drip drip, where that kitty cat, put it in his lap Sip sip, on the tip tip, lick on his lip-lip I think he's trying to hit young Nick like the quick pic Na na na na na na na na Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers (huhhh) Na na na na na na na na Till I find someone I trust Na na na na na na na na Kissing strangers (huhhh) Open heart, open mind Never know who you'll find Open heart, close your eyes Kissing strangers (huhhh) Na na na na na na na na Till I find someone I love Na na na na na na na na Kissing strangers (huhhh)"
490,Slow Hands,Niall Horan,dance pop,2017,86,42,74,-7,6,85,188,1,5,64,"We should take this back to my place That's what she said right to my face 'Cause I want you bad, yeah, I want you, baby I've been thinking 'bout it all day And I hope you feel the same way, yeah 'Cause I want you bad, yeah, I want you, baby Slow, slow hands Like sweat dripping down our dirty laundry No, no chance That I'm leaving here without you on me I, I know, yeah, I already know that there ain't no stopping Your plans and those slow hands Slow hands I just wanna take my time We could do this, baby, all night, yeah 'Cause I want you bad Yeah, I want you, baby Slow, slow hands Like sweat dripping down our dirty laundry No, no chance That I'm leaving here without you on me I, I know, yeah, I already know that there ain't no stopping Your plans and those slow hands Fingertips putting on a show Got me now and I can't say ""No"" Wanna be with you all alone Take me home, take me home Fingertips putting on a show Can't you tell that I want you, baby, yeah Slow hands Like sweat dripping down our dirty laundry No, no chance That I'm leaving here without you on me I, I know, yeah, I already know that there ain't no stopping Slow hands Like sweat dripping down our dirty laundry No, no chance That I'm leaving here without you on me I, I know, yeah, I already know that there ain't no stopping Your plans and those slow hands Slow hands Slow hands"
491,Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62,"Feels like I just woke up Like all this time I've been asleep Even though it's not who I am I'm not afraid of who I used to be No one stays the same (oh, oh) You know what goes up must come down (oh, oh) Change is a thing you can count on (oh, oh) I feel so much younger now (oh, oh) Feels like I've been living in a dream But never make it to the end My eyes open when they feel the light It's always right before I'm about to scream No one stays the same (oh, oh) You know what goes up must come down (oh, oh) Change is a thing you can count on (oh, oh) I feel so much younger now (oh, oh) What goes up must come down What goes up must come down What goes up must come down What goes up must come down (yeah) No one stays the same (oh, oh) You know what goes comes back around (oh, oh) Change is a thing you can count on (oh, oh) I feel so much younger now (oh, oh) I feel so much younger now (oh, oh) I feel so much younger now (oh, oh)"
492,Body Moves,DNCE,dance pop,2017,102,69,65,-5,4,86,236,0,4,62,"(Ow!) (Hey, that's right!) (Oh!) Side by side Walking home, stumbling home, getting curious What's on your mind? Cause what's on mine, a dirty mind Why so serious? Baby the stars above will light the way Just take my hand and hear the words I say Yeah, when the morning comes, I'll always stay You gotta know, you gotta know that I'm feeling this Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit, ow!) Come on home with me, oh baby, let it loose Me and you (oh, just a little bit) Body moves (yeah, just a little bit) I don't need it, but you know how bad I want it And your touch has got me haunted, but I li-I-ike it Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit) We've got all night Show me more, a little more, it's getting scandalous Yeah, all my life, yeah I'm waiting for, the girl next door to get real dangerous (real dangerous) Baby the stars above will light the way Just take my hand and hear the words I say Yeah, when the morning comes, I'll always stay You gotta know, you gotta know that I'm feeling this Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit, ow!) Come on home with me, oh baby, let it loose Me and you (oh, just a little bit) Body moves (yeah, just a little bit) I don't need it, but you know how bad I want it And your touch has got me haunted, but I li-I-ike it Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit), oh (Ha, that's right!) (Go) [x16] Yeah, when the morning comes, I'll always stay You gotta know, you gotta know that I'm feeling this Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit, ow!) Come on home with me, oh baby, let it loose Me and you (oh, just a little bit) Body moves (yeah, just a little bit) I don't need it, but you know how bad I want it And your touch has got me haunted, but I li-I-ike it Come and roll with me, we'll rock them body moves Me and you (oh, just a little bit) Body moves (yeah, just a little bit) (Go) [x8]"
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8,53,158,2,4,59,"Decisions as I go, to anywhere I flow Sometimes I believe, at times when I should know I can fly high, I can go low Today I got a million. Tomorrow, I don't know [x2] Stop crying like you're home and think about the show We're all playing the same game, I'm laying down alone We're unknown and known, special and a clone Hate will make you cautious, love will make you glow Make me feel the warmth, make me feel the cold It's written in our story, it's written on the walls This is our call, we rise and we fall Dancin' in the moonlight, don't we have it all? Decisions as I go, to anywhere I flow Sometimes I believe, at times when I should know I can fly high, I can go low Today I got a million. Tomorrow, I don't know Make me feel the warmth, make me feel the cold It's written in our story, it's written on the walls This is our call, we rise and we fall Dancin' in the moonlight, don't we have it all?"
494,Angel,Fifth Harmony,dance pop,2017,124,53,74,-6,35,13,189,0,4,59,"Who said I was an angel? Who said I was an angel? Oh yeah We was just a moment, nothing serious Never really paid it no mind Dropped the back side, you're paying attention Shakin' all that, ah... Should've never not kept your word Woulda had a reason to keep mine You was too inconsistent Shakin' all that, ah... Should've never crossed that line with ya Everything was cool, just drinkin' with ya Way too young to be up in handcuffs Wasn't tryna spend my life on the phone with ya Gotta keep it all 100 with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya Who said I was an angel? Who said I was an angel? Oh yeah When you look at me, what do you see? Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Yeah, won't lie, say I don't lie Yeah, I might've told a few lies, yeah Won't lie, say I didn't try But you're only worth a few tries, yeah Track star, think you're running these streets You ain't the only one running the streets Stay making ground like I only wear cleats, yeah Should've never crossed that line with ya Everything was cool, just drinkin' with ya Way too young to be up in handcuffs Wasn't tryna spend my life on the phone with ya Gotta keep it all 100 with ya The original me wouldn't fuck with ya And I was beginning to fuck with ya Who said I was an angel? (But you was wrong, oh yeah) Who said I was an angel? (Oh, I'm no angel, when you look at me) When you look at me, what do you see? Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Who said I was, an angel? Who said I was an angel? Who said I was an angel? Didn't know real me, I'm far from an angel Who said I was an angel? Never took the time out, never had time to figure me out When you look at me When you look at me, what do you see? (What do you see?) Open your eyes, I'm more brilliant than you'll ever be Who said I was an angel? Who said I was a, an angel? Oh..."
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,-4,49,53,203,4,11,59,"You and I and nobody else (ah, yeah) Feeling feelings I've never felt (let's get it) The way you got me under your spell Don't you keep it all to yourself So won't you take it? I feel like for the first time I am not faking Fingers on my buttons, and now you're playing Master of anticipation, don't you keep it all to yourself Just a touch of your love is enough To knock me off of my feet all week Just a touch of your love, oh Just a touch of your love, oh Just a touch of your love is enough To take control of my whole body Just a touch of your love, oh Just a touch of your love, oh Just a touch of your love is enough To knock me off of my feet all week Just a touch of your love, oh Just a touch of your love, oh Just a touch of your love is enough To take control of my whole body Just a touch of your love, oh Just a touch of your love, oh [Kid Ink:] (Let's get it) There ain't no need to rush We gon' be up all night 'til the day come You say you need just a touch But you know I got a lot more where that came from Back up, back up, that thang, girl Roll up I got that flame, girl I'mma keep doing the same like that If you keep touchin' my chain like that You know I've been unfair Tryna wash my hands I just need to hold it Baby, let me show you Just a touch of your love is enough To knock me off of my feet all week Just a touch of your love, oh Just a touch of your love, oh Just a touch of your love is enough To take control of my whole body Just a touch of your love, oh Just a touch of your love, oh Photograph with no T-shirt on Why you're making me wait so long, wait so long? I promise to keep this a secret I'll never tell But don't you keep it all to yourself So won't you take it? I feel like for the first time I am not faking Fingers on my buttons, and now you're playing Master of anticipation, don't you keep it all to yourself, to yourself Just a touch of your love is enough To knock me off of my feet all week (just a touch) Just a touch of your love, oh Just a touch of your love, oh Just a touch of your love is enough To take control of my whole body, whole body Just a touch of your love, oh (only a touch of your love) Just a touch of your love, oh (want a touch of your) Just a touch of your love is enough To knock me off of my feet all week Just a touch of your love, just a touch Just a touch of your love, just a touch Just a touch of your love is enough To take control of my whole body Just a touch of your love, hey! Just a touch of your love (just a touch)"
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59,"We don't talk anymore We don't talk anymore We don't talk anymore Like we used to do We don't laugh anymore What was all of it for? Oh, we don't talk anymore Like we used to do I just heard you found the one you've been looking— You've been looking for I wish I would have known that wasn't me 'Cause even after all this time I still wonder Why I can't move on Just the way you did so easily Don't wanna know Kind of dress you're wearing tonight If he's holdin' onto you so tight The way I did before I overdosed Should've known your love was a game Now I can't get you out of my brain Oh, it's such a shame That we don't talk anymore We don't talk anymore We don't talk anymore Like we used to do We don't laugh anymore What was all of it for? Oh, we don't talk anymore Like we used to do I just hope you're lying next to somebody Who knows how to love you like me There must be a good reason that you're gone Every now and then I think you might want me to Come show up at your door But I'm just too afraid that I'll be wrong Don't wanna know If you're looking into her eyes If she's holdin' onto you so tight The way I did before I overdosed Should've known your love was a game Now I can't get you out of my brain Oh, it's such a shame That we don't talk anymore (we don't, we don't) We don't talk anymore (we don't, we don't) We don't talk anymore Like we used to do We don't laugh anymore (we don't, we don't) What was all of it for? (we don't, we don't) Oh, we don't talk anymore Like we used to do Like we used to do Don't wanna know Kind of dress you're wearing tonight If he's giving it to you just right The way I did before I overdosed Should've known your love was a game Now I can't get you out of my brain Oh, it's such a shame That we don't talk anymore (we don't, we don't) We don't talk anymore (we don't, we don't) We don't talk anymore Like we used to do We don't laugh anymore (we don't, we don't) What was all of it for? (we don't, we don't) Oh, we don't talk anymore Like we used to do We don't talk anymore Don't wanna know Kind of dress you're wearing tonight, oh If he's holding onto you so tight, oh The way I did before We don't talk anymore I overdosed Should've known your love was a game, oh Now I can't get you out of my brain, whoa Oh, it's such a shame That we don't talk anymore"
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20,21,180,6,12,59,"I forgot the feeling The feeling of being alone but not lonely I guess when you touch me My fears and my secrets belong to you only Close the door behind you Just let me love you, slow you, hold you My mind stays on you So does my body, let me show you But I wanna go through And I wanna need you Could you be my muse? Lately all I think about is you I'm never sick about it This love's incredible-credible Have a little mercy on me, baby, you got me Wanting more, wanting more Of your love Incredible-credible Have a little mercy on me, baby, you got me Wanting more, wanting more Of your love I know you've been hurt By the way that you look away From me too early You don't like to talk about it And that's fine, I get it So don't worry But I wanna go through And I wanna need you Could you be my muse? Lately all I think about is you I'm never sick about it This love's incredible-credible Have a little mercy on me, baby, you got me Wanting more, wanting more Of your love Incredible-credible Have a little mercy on me, baby, you got me Wanting more, wanting more Of your love Wanting more, wanting more Of your love Wanting more, wanting more Of your love This love Wanting more, wanting more"
498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14,59,223,8,4,57,"I used to leave the doors unlocked and leave the lights on I used to stay awake, just counting hours all night long I had so many empty rooms inside this chateau Yeah, oh yeah I'm done with sharing space with people that I don't know Trading pieces of my heart til I feel shallow I had so many empty rooms inside this chateau, oh But ever since I met ya No vacancy because of you There's no vacancy, no empty rooms Got no vacancy ever since I met ya No vacancy 'cause of you Used to be that I felt so damn empty Ever since I met you, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy No vacancy, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy No vacancy, no vacancy I used to be the type to never take a chance, oh Had so many walls, you'd think I was a castle I spent so many empty nights with faces I don't know But ever since I met ya No vacancy because of you There's no vacancy, no empty rooms Got no vacancy ever since I met ya No vacancy 'cause of you Used to be that I felt so damn empty Ever since I met you, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy No vacancy, no vacancy Come on, come on, listen, oh yeah Come on, come on, listen, oh yeah When I fell, I fell, I fell, I fell for you So no vacancy, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy Used to be that I felt so damn empty Ever since I met you, no vacancy No vacancy, no vacancy Come on, come on, listen No vacancy, oh yeah Oh yeah, no vacancy"
499,Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55,"I don't need a rich boy I don't want your money No, you don't gotta spend nothing on me All I want is sweet sweet love, sweet sweet love Hey! I don't need a rich boy I don't want dollars No you don't gotta be a high roller All I want is sweet sweet love, sweet sweet love Hey! Hey! Hey! Sweet sweet love Sweet sweet love All I want Sweet sweet love Hey! Sweet sweet love Sweet sweet love All I want Sweet sweet love Sweet sweet love Hey! I don't need a rich boy I don't want your money No you don't gotta spend nothing on me All I want is sweet sweet love I don't need a rich boy I don't want dollars No you don't gotta be a high roller All I want is sweet sweet love, sweet sweet love Hey! I don't need a rich boy I don't want your money No you don't gotta spend nothing on me All I want is sweet sweet love Hey! I don't need a rich boy I don't want dollars No you don't gotta be a high roller All I want is sweet sweet love, sweet sweet love Hey! Hey! Hey! Hey! Hey! Hey! Hey! I don't need a rich boy I don't want your money No you don't gotta spend nothing on me All I want is sweet sweet love Hey! I don't need a rich boy I don't want dollars No you don't gotta be a high roller All I want is sweet sweet love, sweet sweet love Hey! Hey! Hey! Hey! All I want Sweet sweet love Sweet sweet love Hey! All I want Sweet sweet love Sweet sweet love Hey!"
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54,"Climb up the H Of the Hollywood sign, yeah In these stolen moments The world is mine (duwop, duwop) There's nobody here Just us together (shuwop, shuwop) Keepin' me hot Like July forever 'Cause we're the masters of our own fate We're the captains of our own souls There's no way for us to come away 'Cause boy we're gold, boy we're gold And I was like... Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes They say only the good die young That just ain't right 'Cause we're having too much fun Too much fun tonight, yeah And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive Then, we dance on the H Of the Hollywood sign, yeah 'Til we run out of breath Gotta dance 'til we die (duwop, duwop) My boyfriend's back And he's cooler than ever (shuwop, shuwop) There's no more night Blue skies forever 'Cause we're the masters of our own fate We're the captains of our own souls So there's no need for us to hesitate We're all alone, let's take control And I was like... Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes They say only the good die young That just ain't right 'Cause we're having too much fun Too much fun tonight, yeah And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive My boyfriend's back And he's cooler than ever There's no more night Blue skies forever I told you twice In our love letter There's no stopping now Green lights forever And I was like... [Lana Del Rey:] Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes [Lana Del Rey & The Weeknd:] And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive And a lust for life, and a lust for life And a lust for life, and a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive"
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54,"Red light, green light Everybody take a shot Red light, green light Give me everything you got Red light, green light Mister 305 Flo Rida and LunchMoney Three Miami boys, you know what time it is Give me the green light, oh yeah Cause I'm ready to go Let's have a good time, let's go What you waiting for? You only got one life, one life And we gon' live it up So give me the green light, give it to me Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh Give me the green light I got the green light mami and you know what that means That we could do anything, anything that you dream I wanna make you ooh, ah, until you scream And I practice what I preach, if you know what I mean I'mma about that mami, yeah I got the key and I'mma lock that mami Yeah, we can roll and I'mma rock that mami I do what I say and say what I mean, now let me jump in between I'm getting loose in this thing, like OJ the Juice in this thing Feeling like Left Eye, boy, I burn the roof in this thing I got all the women getting naked, feeling like Luke in this thing Think it's a game Now I got the green lit and the green right All I need is, mami, for you to give me the green light So I can run through it like an easy pass Find the G-spot and step on the gas Give me the green light, oh yeah Cause I'm ready to go Let's have a good time, let's go What you waiting for? You only got one life, one life And we gon' live it up So give me the green light, give it to me Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh (Ride out now, ride out now) Give me the green light Baby, I got the Midas, I'm Flo Rida You know I'm all about that thing, that thing If she ready then I'm ready Pull up on her with the Chevy Real talk when that light turn green (let go) Give me what I ask for, I got a passport Mister international, I hit the airport If you knew the kind of work that I transport That Rihanna do me dirt, took a crash course I like the cleanest, greenest, leanest Sabrina, Venus, Flo a Genius, smokin' Phoenix You've never seen this, I have her dream this That 200 on the dash, got me feenin So I'm tryna ride out, slide out Grab the stripes then the five hundred bye bye Wild out, shot out Bee hive, hit the honeycomb hideout, ay Give me the green light Cause I'm ready to go Let's have a good time (Right now, right now) What you waiting for? You only got one life And we gon' live it up So give me the green light, let's go Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh (Right now, right now) Give me the green light Red light, green light Everybody take a shot Red light, green light Give me everything you got Red light, green light Everybody take a shot Red light, green light What you waiting for? Give me the green light, oh yeah Cause I'm ready to go Let's have a good time, let's go What you waiting for? You only got one life, one life And we gon' live it up So give me the green light, give it to me Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh Cause I'm ready to go, oh, oh, oh Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh (Right now, right now) Give me the green light"
502,Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54,"First line, take mine; I'm fine as fuck Love myself tonight and I think you can feel the same Moonshine, good time; babe, you're in luck 'Cause I will do whatever comes to mind You'll go insane Things I say don't usually come easily There's one thing I need you now to know 'bout me You know I'm under the influence So don't trust every word I say, I say When I'm under the influence It's a blur, but I want my way, my way You know I'm under the influence So don't trust every word I say, I say Sounds good without making sense It's a blur, but I want my way, my way When I'm under the influence Take off, liquor; I feel the beat Hold onto the floor but I keep spinnin' round and round Swing me, baby, back on my feet Hiding in the crowd; we're making love without a sound Things I say don't usually come easily There's one thing I need you now to know 'bout me You know I'm under the influence So don't trust every word I say, I say When I'm under the influence It's a blur, but I want my way, my way You know I'm under the influence (oh, oh) So don't trust every word I say, I say Sounds good without making sense (sounds good without making sense) It's a blur, but I want my way, my way When I'm under the influence Boy meets, boy meets Girl meets girl This is the best place in the world, ooh Boy meets, boy meets Girl meets girl This is the best place in the world, ooh So, intoxicated and faded, I'm in the club, barely made it I see the look on your face and it says that you want it later But you ain't too into waitin', I fly you to different places Took all your crew and amazing cause they ain't doing the same shit Barely knew what your name is, don't care who you just came with Make a move and get famous, get your mission completed Use the other politic or entertainment I just got a couple things I wanna know cause everything is moving slow I usually wouldn't ask this though  You know I'm under the influence So don't trust every word I say, I say (Wiz Khalifa man) When I'm under the influence It's a blur, but I want my way, my way You know I'm under the influence (boy meets, boy meets, girl meets, girl) So don't trust every word I say, I say Sounds good without making sense (boy meets, boy meets, girl meets, girl) It's a blur, but I want my way, my way When I'm under the influence"
503,Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53,"Remember I told you, I need you Remember the spark that was there? All of the words that I'm saying Are just a fancy way of saying ""I care"" I don't suppose you have a moment to spare me Do you? Do you? I've been looking for love in all the wrong places You too? You too? I don't like the way you went and told me, ""Oh well"" I have the suspicion you're not being yourself I don't suppose you have a moment to spare me Do you? Do you? Remember I told you, I need you Remember the spark that was there? All of the words that I'm saying Are just a fancy way of saying ""I care"" You're probably somewhere, with someone I don't know That's cool, and that's cool And I hope that she gives you, all the things that you deserve That's true, that's true Listen, I don't like the way you went and told me, ""Oh well"" I have the suspicion you're not being yourself You're probably somewhere, with someone I don't know That's cool, and that's cool Remember I told you, I need you Remember the spark that was there? All of the words that I'm saying Are just a fancy way of saying ""I care"" Had to cut it off, and we know why I'm in love with myself, cold inside Too many shoes in your closet, go some miles I suck at talking to girls, here goes a try More woman than I should've in a century Bitches on the side like a Kennedy Starting to drain all my energy I love it, shoot the frame like an enemy At the same time, and I can't lie Too many girls for the way that I rock the bassline You got addicted to the seas of the bassline Lets see how you're gonna do with the back and forth fameline After all the shit we been through I play the rocksea, I ain't 'bout to guestlist you And I know I'm talking shit, it ain't fair Hate is just a fancy way saying that I care Remember I told you, I need you Remember the spark that was there? All of the words that I'm saying Are just a fancy way of saying ""I care"" Remember I told you, I need you Remember the spark that was there? All of the words that I'm saying Are just a fancy way of saying ""I care"" Saying I care"
504,Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4,78,223,2,5,51,"She's got me like na, na na, na na Na na na na, na na, na na (Mr. Worldwide) (She's got that look in her eyes) (Enrique Iglesias) Na, na na, na na (Like she wants to mess around) Na na na na, na na, na na (Enrique, talk to 'em) I heard it from a friend, who Heard it from a friend, who Heard it from another you've been messin' around I'm hoping that your friend too Told you about me too Cause I'mma tell you straight up, I've been messin' around I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) Yeah, I've been messin' around The way you lick your lips Yeah, I like that, I like that When you act like a bad girl I like that, I like that That little sexy look you got Mmm, I like that, I like that The way you whisper in my ear how you want it when you want it Girl, I like that Then let's go, baby, let's ride Let's not talk about it, let's do it How you want it, English or Spanish? Both of them, I'm fluent We can get freaky in the morning Or in the afternoon We can go all night long, baby It's all up to you You can get sexy if you want to And you can bring your girls if you want to And we can hit the crib if you want to And we can mess around if you want to Tell me, you want to? I heard it from a friend, who Heard it from a friend, who Heard it from another you've been messin' around I'm hoping that your friend too Told you about me too Cause I'mma tell you straight up, I've been messin' around I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) Yeah, I've been messin' around Enrique, let's break it down right quick I'm ready, girl, are you ready? I'm ready, girl, are you ready? I'm ready, girl, are you ready? I'm ready, girl, are you ready? The way you talk dirty Yeah, I like that, I like that The way you bring other girls Yeah, I like that, I like that The way you ride them heels Yeah, I like that, I like that No thong up under that skirt Ooh, I like that, I like that And you can get crazy, yeah, that's cool You can get loose, yeah, that's cool We can get some Voli, yeah, that's cool Let's jump on the bar, yeah, that's cool Let's push the gas, I'm like ooh I don't mean to be rude, but I swear to god There's so many things that I'd love to do to you [Both:] You can get sexy if you want to And you can bring your girls if you want to And we can hit the crib if you want to And we can mess around if you want to Tell me, you want to? I heard it from a friend, who Heard it from a friend, who Heard it from another you've been messin' around I'm hoping that your friend too Told you about me too Cause I'mma tell you straight up, I've been messin' around I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) I've been messin' around (I've been, I've been) Yeah, I've been messin' around Enrique, let's break it down right quick I'm ready, girl, are you ready? I'm ready, girl, are you ready? I'm ready, girl, are you ready? I'm ready, girl, are you ready? Let's mess around"
505,Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49,"If you're not the one for me Then how come I can bring you to your knees? If you're not the one for me Why do I hate the idea of being free? And if I'm not the one for you You've gotta stop holding me the way you do Oh, honey, if I'm not the one for you Why have we been through what we have been through? It's so cold out here in your wilderness I want you to be my keeper But not if you are so reckless If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge Say that our love ain't water under the bridge What are you waiting for? You never seem to make it through the door And who are you hiding from? It ain't no life to live like you're on the run Have I ever asked for much? The only thing that I want is your love If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge Say that our love ain't water under the bridge It's so cold out here in your wilderness I want you to be my keeper But not if you are so reckless If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say that our love ain't water under the bridge Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say it ain't so, say it ain't so Say that our love ain't water under the bridge Say that our love ain't water under the bridge"
506,Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44,"I don't want to hold your gaze I'm scared what I might see there Found myself locked in this place And I'm a burning fire Peace may come I hope it won't take long Just a fail I cannot see Bring me home I'm in here all alone Just me and my melody So free me Oh free me From this pain I've been running from I'm tired and I'm free-falling Free me Oh free me From this shame I've been running from I'm lost and I am calling you I'm lost and I am calling I'm lost and I am calling I, I'm hurting way back down I'm slipping even further Take my hand and turn me around I'm listening to myself Peace may come I hope it won't take long Just a fail I cannot see Bring me home I'm in here all alone Just me and my melody So free me Oh free me From this pain I've been running from I'm tired and I'm free-falling Free me Oh, free me From this shame I've been running from I'm lost and I am calling I'm calling you And though I can't undo All the things I put you through I can't take your hand Admit that I don't have a plan Only you Free me Free me From this pain I've been running from I'm tired and I'm free-falling Free me Free me From this shame I've been running from I'm lost and I am calling you Free me Free me I'm lost and I am calling Free me Free me From this shame I've been running from I'm lost and I am calling you"
